Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official
Tue ,15/12/2009,69,7:40:00 PM,Al-Raed,Al-Ahli,King Abdullah Sport City Stadium,Buraidah,12,1,2,,Mansor Al-Shamari,Abdulaziz Al-Kathiri,Hmood Al-Shamari,Mohammed Al-Owais
Tue ,15/12/2009,70,7:40:00 PM,Al-Hazem,Al-Nassr,Alhazm Club Stadium,Al-Ras,12,2,2,,Abdulrahman Al-Amri,Abdulaziz Al-Asmari,Moaid Al-Sayeg,Saleh Al-Hathlool
Wed ,16/12/2009,71,7:40:00 PM,Al-Ettifaq,Al-Wehda,Prince Mohamed bin Fahd Stadium,Dammam,12,1,3,,Metref Al-Qahtani,Fahad Al-Amri,Waleed Al-boaimi,Abdulrahman Al-Ahmri
Wed ,16/12/2009,72,7:40:00 PM,Al-Shabab,Najran,Prince Faisal bin Fahad Stadium,Riyadh,12,1,0,,Cyril Zimmermann,Bruno Zurbrugg,Sandro Pozzi,Daffer Al-Shehri
Sat ,19/12/2009,73,7:40:00 PM,Al-Ahli,Al-Hazem,Prince Abdullah Al-Faisal Stadium,Jeddah,13,2,1,,Abdullah Al-Qahtani,Yahya Al-Shahrani,Abdullah Asiri,Abdelrahman Al-Malki
Sat ,19/12/2009,74,7:40:00 PM,Al-Qadsiah,Al-Ittihad,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,13,3,3,,Fahad Al-Mirdasi,Bader Al-Shamrani,Ahmed Fakihi,Abdulelah Al-Mousa
Sat ,19/12/2009,75,7:40:00 PM,Al-Fateh,Al-Raed,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,13,2,0,,Abbas Ibrahim,Abdulaziz Al-Asmari,Moaid Al-Sayeg,Mohammed Al-Hoaish
Sun ,20/12/2009,76,7:40:00 PM,Al-Nassr,Al-Ettifaq,Prince Faisal bin Fahad Stadium,Riyadh,13,1,0,,Khalil Al-Ghamdi,Mohammed Al-Ghamdi,Hmood Al-Shamari,Metref Al-Qahtani
Sun ,20/12/2009,77,7:40:00 PM,Al-Wehda,Al-Shabab,King Abdul Aziz Sport City Stadium,Makkah,13,1,1,,Daloukas Georgios,Saraidaris Dimitrios,Acrevos Christos,Sami Al-Nemri
Sun ,20/12/2009,78,7:40:00 PM,Najran,Al-Hilal,AlAkhdoud Club Stadium,Najran,13,1,2,,Saad Al-Kathiri,Ibrahim Al-Debasi,Nawaf Al-Otaibi,Saleh Al-Sqoor
Thu ,24/12/2009,79,3:15:00 PM,Al-Hilal,Al-Wehda,Prince Faisal bin Fahad Stadium,Riyadh,14,3,1,,Abdulrahman Al-Amri,Mohammed Al-Ghamdi,Ahmed Fakihi,Abdulaziz Al-Funaitel
