Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Attendance,Referee_name,Assistant_referee_1_name,Assistant_referee_2_name,Fourth_official_name
Fri ,10/12/2010,93,7:35:00 PM,Al-Ettifaq,Al-Ittihad,Prince Mohamed bin Fahd Stadium,Dammam,14,2,2,,10032,Abbas Ibrahim,Bader Al-Shamrani,Khaled Al-Degairi,Abdulrahman Al-Ahmri
Fri ,10/12/2010,94,7:35:00 PM,Al-Taawoun,Al-Hilal,King Abdullah Sport City Stadium,Buraidah,14,2,2,,11220,Saad Al-Kathiri,Nawaf Al-Otaibi,Mohammed Khmash,Saleh Al-Aqeel
Fri ,10/12/2010,98,7:35:00 PM,Al-Hazem,Al-Ahli,Alhazm Club Stadium,Al-Ras,14,1,3,,214,Metref Al-Qahtani,Nassir Al-Mudhaffr,Abdulwahab Al-Zahrani,Mohammed Al-Nuhait
Tue ,14/12/2010,102,7:40:00 PM,Al-Shabab,Al-Taawoun,Prince Faisal bin Fahad Stadium,Riyadh,15,4,1,,291,Fahad Al-Mirdasi,Nassir Al-Mudhaffr,Abdelraheem Al-Shamari,Yahya Al-Qarni
Wed ,15/12/2010,99,7:40:00 PM,Al-Hilal,Al-Hazem,Prince Faisal bin Fahad Stadium,Riyadh,15,3,0,,3968,Yahya Hazzazi,Abdulaziz Al-Kathiri,Bader Al-Shamrani,Abdulaziz Al-Funaitel
Wed ,15/12/2010,105,7:40:00 PM,Al-Fateh,Al-Nassr,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,15,1,1,,7143,Abdulrahman Al-Amri,Fahad Al-Amri,Saleh Al-Shehri,Mohammed Al-Hoaish
Wed ,15/12/2010,103,7:40:00 PM,Al-Ahli,Al-Ettifaq,Prince Abdullah Al-Faisal Stadium,Jeddah,15,5,1,,5938,Khalil Al-Ghamdi,Moaid Al-Sayeg,Khaled Al-Degairi,Abdelrahman Al-Malki
Thu ,16/12/2010,101,7:40:00 PM,Al-Ittihad,Al-Faisaly,Prince Abdullah Al-Faisal Stadium,Jeddah,15,3,3,,9446,Fahad Al-Oraini,Abdulaziz Al-Asmari,Mohammed Al-Abkari,Abdulrahman Al-Kabi
Thu ,16/12/2010,104,7:40:00 PM,Najran,Al-Raed,AlAkhdoud Club Stadium,Najran,15,0,0,,369,Metref Al-Qahtani,Ahmed Fakihi,Abdullah Al-Ahmari,Mohammed Al-Harthi
Sat ,18/12/2010,33,7:40:00 PM,Al-Shabab,Al-Qadsiah,Prince Faisal bin Fahad Stadium,Riyadh,5,3,1,Delayed for this day,346,Abbas Ibrahim,Khaled Al-Degairi,Majed Al-Nasser,Khaled Salwi
Sun ,19/12/2010,29,7:40:00 PM,Al-Hilal,Al-Fateh,Prince Faisal bin Fahad Stadium,Riyadh,5,2,0,Delayed for this day,4375,Meree Al-Awagi,Abdullah Al-Shlwi,Mohammed Al-Abkari,Khaled Al-Teris
Wed ,22/12/2010,106,7:40:00 PM,Al-Wehda,Al-Raed,King Abdul Aziz Sport City Stadium,Makkah,16,2,3,,261,Fahad Al-Mirdasi,Abdulwahab Al-Zahrani,Hmood Al-Shamari,Abdulrahman Al-Kabi
Wed ,22/12/2010,107,7:40:00 PM,Najran,Al-Ittihad,AlAkhdoud Club Stadium,Najran,16,2,2,,1729,Abdulrahman Al-Amri,Nassir Al-Mudhaffr,Moaid Al-Sayeg,Mohammed Al-Harthi
Wed ,22/12/2010,110,7:40:00 PM,Al-Nassr,Al-Taawoun,Prince Faisal bin Fahad Stadium,Riyadh,16,2,2,,3690,Fahad Al-Oraini,Fahad Al-Amri,Majed Al-Nasser,Abdulrahman Al-Sultan
Thu ,23/12/2010,108,7:40:00 PM,Al-Fateh,Al-Ahli,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,16,0,2,,2860,Metref Al-Qahtani,Abdelraheem Al-Shamari,Mohammed Al-Abkari,Mohammed Al-Hoaish
Thu ,23/12/2010,109,7:40:00 PM,Al-Faisaly,Al-Hilal,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,16,2,3,,5022,Khalil Al-Ghamdi,Abdullah Asiri,Yahya Al-Meteq,Bader Al-Anazi
Thu ,23/12/2010,111,7:40:00 PM,Al-Ettifaq,Al-Shabab,Prince Mohamed bin Fahd Stadium,Dammam,16,1,0,,3240,Saad Al-Kathiri,Khaled Al-Degairi,Ziad Al-Mansor,Abdulrahman Al-Ahmri
Thu ,23/12/2010,112,7:40:00 PM,Al-Qadsiah,Al-Hazem,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,16,1,0,,100,Sami Al-Nemri,Abdulaziz Al-Kathiri,Abdulaziz Al-Asmari,Hussin Al-Setri
Sun ,06/02/2011,45,8:15:00 PM,Al-Ittihad,Al-Hilal,Prince Abdullah Al-Faisal Stadium,Jeddah,7,0,0,Delayed for this day,14425,Jerome Efong Nzolo,GERARD Michaël,Gregory Crotteux,Abdulrahman Al-Amri
Sun ,06/02/2011,53,8:15:00 PM,Al-Shabab,Al-Hazem,Prince Faisal bin Fahad Stadium,Riyadh,8,1,0,Delayed for this day,66,Abdulaziz Al-Funaitel,Ibrahim Al-Debasi,Fahad Al-Amri,Khaled Al-Teris
