matchNo,Round,Date,Time,Team1,Team2,Score1,Score2,Note
124,19,30.01.2018,20:10,Al-Hilal,Al-Raed,2,1,
125,19,30.01.2018,20:10,Al Ahli SC,Al-Shabab,3,2,
126,20,03.02.2018,15:40,Al-Faisaly,Al-Taawon,0,1,
127,20,03.02.2018,18:05,Al-Ettifaq,Al-Fateh,2,1,
128,20,03.02.2018,19:45,Al-Nassr,Ohod,2,0,
129,20,04.02.2018,15:40,Al Feiha,Al Qadisiya,2,0,
130,20,04.02.2018,18:20,Al-Shabab,Al-Raed,0,0,
131,20,04.02.2018,18:20,Al Batin,Al-Hilal,1,5,
132,20,04.02.2018,20:20,Al-Ittihad FC,Al Ahli SC,0,0,
133,21,08.02.2018,20:20,Al-Hilal,Al-Nassr,2,2,
134,21,08.02.2018,20:20,Al Ahli SC,Al-Faisaly,2,1,
135,21,09.02.2018,15:50,Al-Raed,Al Batin,3,1,
136,21,09.02.2018,18:55,Ohod,Al-Taawon,1,0,
137,21,09.02.2018,20:20,Al Qadisiya,Al-Ittihad FC,0,0,
138,21,10.02.2018,18:15,Al-Fateh,Al-Shabab,1,0,
139,21,10.02.2018,20:20,Al-Ettifaq,Al Feiha,1,1,
140,22,15.02.2018,18:40,Al-Taawon,Al Qadisiya,1,1,
141,22,15.02.2018,20:30,Al-Nassr,Al Batin,0,3,
142,22,16.02.2018,15:55,Al-Raed,Al-Ettifaq,0,1,
143,22,16.02.2018,18:35,Al Feiha,Al Ahli SC,1,1,
144,22,16.02.2018,20:30,Al-Shabab,Al-Hilal,1,2,
145,22,17.02.2018,18:35,Al-Faisaly,Ohod,2,0,
146,22,17.02.2018,20:30,Al-Ittihad FC,Al-Fateh,0,0,
147,16,21.02.2018,20:20,Al Qadisiya,Al-Ettifaq,1,2,
148,23,01.03.2018,18:25,Al-Fateh,Al Feiha,3,2,
149,23,01.03.2018,20:30,Al-Shabab,Al-Ittihad FC,3,0,
150,23,01.03.2018,20:30,Al Ahli SC,Al-Taawon,5,1,
151,23,02.03.2018,18:25,Al-Ettifaq,Ohod,3,2,
152,23,02.03.2018,18:40,Al Batin,Al Qadisiya,3,4,
153,23,02.03.2018,20:30,Al-Hilal,Al-Faisaly,1,0,
154,23,03.03.2018,18:35,Al-Nassr,Al-Raed,4,3,
155,18,05.03.2018,20:30,Al-Ittihad FC,Al-Taawon,2,5,
156,18,06.03.2018,18:25,Al-Fateh,Al Batin,5,2,
157,18,06.03.2018,18:25,Al-Ettifaq,Al-Faisaly,0,0,
158,18,06.03.2018,19:10,Ohod,Al Feiha,2,3,
159,18,07.03.2018,20:30,Al-Nassr,Al-Shabab,1,0,
160,24,09.03.2018,19:10,Ohod,Al-Raed,1,3,
161,24,09.03.2018,20:30,Al-Ettifaq,Al-Hilal,2,1,
162,24,09.03.2018,20:30,Al Qadisiya,Al Ahli SC,0,1,
163,24,10.03.2018,18:45,Al-Faisaly,Al-Fateh,0,2,
164,24,10.03.2018,18:50,Al-Taawon,Al Batin,1,2,
165,24,10.03.2018,20:30,Al-Shabab,Al Feiha,0,0,
166,24,10.03.2018,20:45,Al-Ittihad FC,Al-Nassr,1,3,
167,18,16.03.2018,20:30,Al-Raed,Al Ahli SC,0,3,
168,18,16.03.2018,20:30,Al Qadisiya,Al-Hilal,0,1,
169,25,06.04.2018,20:40,Al-Taawon,Al-Shabab,2,1,
170,25,06.04.2018,20:40,Al-Ittihad FC,Al-Ettifaq,4,2,
171,25,06.04.2018,20:40,Al Qadisiya,Ohod,4,1,
172,25,06.04.2018,20:40,Al Feiha,Al-Raed,3,3,
173,25,07.04.2018,18:40,Al-Fateh,Al-Nassr,1,1,
174,25,07.04.2018,19:00,Al Batin,Al-Faisaly,3,1,
175,25,07.04.2018,20:40,Al Ahli SC,Al-Hilal,0,0,
176,26,12.04.2018,18:40,Al-Ettifaq,Al-Taawon,3,2,
177,26,12.04.2018,18:55,Al-Nassr,Al Qadisiya,2,1,
178,26,12.04.2018,19:00,Al-Faisaly,Al-Shabab,2,2,
179,26,12.04.2018,19:00,Al Batin,Al Feiha,1,1,
180,26,12.04.2018,19:05,Al-Raed,Al-Ittihad FC,3,1,
181,26,12.04.2018,20:40,Al-Hilal,Al-Fateh,4,1,
182,26,12.04.2018,20:40,Al Ahli SC,Ohod,1,0,
183,Relegation,26.04.2018,19:25,Ohod,Al Taee,5,0,Relegation
184,Relegation,27.04.2018,19:10,Al-Raed,Al-Kawkab,4,1,Relegation
185,Relegation,03.05.2018,19:25,Al Taee,Ohod,1,2,Relegation
186,Relegation,04.05.2018,19:00,Al-Kawkab,Al-Raed,0,1,Relegation
