Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official
Sun ,29/03/2009,47,8:40:00 PM,Al-Wehda,Al-Ettifaq,King Abdul Aziz Sport City Stadium,Makkah,8,1,0,,Abbas Ibrahim,Khaled Al-Degairi,Ahmed Fakihi,Abdulrahman Al-Amri
Sat ,04/04/2009,115,8:35:00 PM,Al-Shabab,Al-Nassr,King Fahad International Stadium,Riyadh,20,2,1,,Rizzoli Nicola,Elenito Di Liberatore,Massimo Biasutto,Saad Al-Kathiri
Sat ,04/04/2009,116,8:35:00 PM,Al-Hilal,Al-Ettifaq,Prince Faisal bin Fahad Stadium,Riyadh,20,2,0,,Roberto Rosetti,Massimiliano Grilli,Fabio Comito,Dhafer Al-Qarni
Sat ,04/04/2009,117,8:35:00 PM,Al-Wehda,Al-Ittihad,King Abdul Aziz Sport City Stadium,Makkah,20,1,3,,Kever Saschai,Dettamanti Devis,HIDBER Beat,Yaseer Madani
Sat ,04/04/2009,118,8:35:00 PM,Najran,Al-Watani,AlAkhdoud Club Stadium,Najran,20,2,0,,Abdulrahman Al-Jarwan,Ibrahim Al-Debasi,Waleed Al-boaimi,Mohammed Al-Harthi
Sat ,04/04/2009,119,8:35:00 PM,Abha,Al-Hazem,Prince Sultan Bin Abdul Aziz Sport City Stadium,Abha,20,0,0,,Mamdouh Al-Mirdasi,Abdulaziz Al-Kathiri,Abdulaziz Al-Howimel,Abdullah Al-Qubaisi
Sat ,04/04/2009,120,8:35:00 PM,Al-Ahli,Al-Raed,Prince Abdullah Al-Faisal Stadium,Jeddah,20,3,2,,Abdulrahman Al-Amri,Abdullah Al-Abad,Yousef Merza,Sami Al-Nemri
Wed ,08/04/2009,124,4:00:00 PM,Al-Raed,Al-Wehda,King Abdullah Sport City Stadium,Buraidah,21,6,3,,Saad Al-Kathiri,Abdulaziz Al-Kathiri,Abdulaziz Al-Asmari,Saleh Al-Aqeel
Wed ,08/04/2009,123,8:35:00 PM,Al-Nassr,Abha,King Fahad International Stadium,Riyadh,21,0,1,,Abdulrahman Al-Amri,Abdullah Al-Abad,Ibrahim Al-Debasi,Mamdouh Al-Mirdasi
Wed ,08/04/2009,125,8:35:00 PM,Al-Watani,Al-Ahli,King Khalid Sport City Stadium,Tabuk,21,2,2,,Metref Al-Qahtani,Ibrahim Al-Nami,Bader Al-Shamrani,Daffer Al-Shehri
Wed ,08/04/2009,126,8:35:00 PM,Al-Hazem,Najran,Alhazm Club Stadium,Al-Ras,21,2,1,,Mansor Al-Shamari,Yousef Merza,Nassir Al-Mudhaffr,Abdulrahman Al-Jarwan
Sun ,12/04/2009,127,8:40:00 PM,Al-Hilal,Al-Ittihad,King Fahad International Stadium,Riyadh,22,1,2,,Michael Koukoulakis,Bozatzidis Dimitrios,Saraidaris Dimitrios,Saad Al-Kathiri
Sun ,12/04/2009,128,8:40:00 PM,Al-Nassr,Najran,Prince Faisal bin Fahad Stadium,Riyadh,22,1,0,,Abdullah Al-Qubaisi,Ibrahim Al-Nami,Yahya Al-Shahrani,Abdulaziz Al-Funaitel
Sun ,12/04/2009,129,8:40:00 PM,Al-Wehda,Al-Watani,King Abdul Aziz Sport City Stadium,Makkah,22,4,0,,Mamdouh Al-Mirdasi,Yousef Merza,Abdullah Al-Shlwi,Abdelrahman Al-Malki
Sun ,12/04/2009,130,8:40:00 PM,Al-Ettifaq,Al-Raed,Prince Mohamed bin Fahd Stadium,Dammam,22,1,1,,Abbas Ibrahim,Adnan Al-Beteh,Fahad Al-Amri,Mansor Al-Shamari
Sun ,12/04/2009,131,8:40:00 PM,Abha,Al-Shabab,Prince Sultan Bin Abdul Aziz Sport City Stadium,Abha,22,2,1,,Metref Al-Qahtani,Nassir Al-Mudhaffr,Bader Al-Shamrani,Abdelrahman Al-Qahtani
Sun ,12/04/2009,132,8:40:00 PM,Al-Ahli,Al-Hazem,Prince Abdullah Al-Faisal Stadium,Jeddah,22,1,0,,Khalil Al-Ghamdi,Mohammed Al-Ghamdi,Moaid Al-Sayeg,Sami Al-Nemri
Fri ,24/04/2009,133,8:40:00 PM,Abha,Al-Raed,Prince Sultan Bin Abdul Aziz Sport City Stadium,Abha,,1,1,Relegation Play-off - HOME,Circhetta Claudio,NAVARRO Manuel,Dettamanti Devis,Abdullah Al-Qubaisi
Thu ,30/04/2009,134,8:40:00 PM,Al-Raed,Abha,King Abdullah Sport City Stadium,Buraidah,,3,2,Relegation Play-off - AWAY,Jerome Laperriere,Remy Jean-Paul,Zeder Raffael,Abdulrahman Al-Jarwan
