matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
40,14.12.2000,20:00,Al-Ittihad FC,Al-Nassr,2,1,
41,14.12.2000,20:00,Al-Ettifaq,Al Qadisiya,4,2,
42,14.12.2000,20:00,Al Wehda,Al Ansar,2,3,
43,15.12.2000,20:00,Al-Hilal,Al-Shabab,2,1,
44,30.12.2000,20:00,Al-Shabab,Al-Ittihad FC,2,3,
45,30.12.2000,20:00,Al-Ettifaq,Sdoos,1,1,
46,31.12.2000,20:00,Al-Nassr,Al Ahli SC,0,0,
47,31.12.2000,20:00,Al Qadisiya,Al-Hilal,0,0,
48,31.12.2000,20:00,Al Najma,Al Wehda,0,2,
49,31.12.2000,20:00,Al Ansar,Al Riyadh,0,0,
50,04.01.2001,20:00,Al-Nassr,Al-Hilal,1,2,
51,04.01.2001,20:00,Al Wehda,Al-Ettifaq,3,2,
52,04.01.2001,20:00,Al Riyadh,Al Najma,1,0,
53,04.01.2001,20:00,Al Qadisiya,Al-Shabab,4,2,
54,08.01.2001,20:00,Al-Hilal,Al-Ettifaq,1,0,
55,11.01.2001,20:00,Al-Shabab,Sdoos,2,1,
56,11.01.2001,20:00,Al-Nassr,Al Najma,2,0,
57,11.01.2001,20:00,Al Wehda,Al-Hilal,0,1,
58,12.01.2001,20:00,Al Riyadh,Al-Ettifaq,3,1,
59,12.01.2001,20:00,Al Ansar,Al Ahli SC,4,0,
60,15.01.2001,20:00,Al-Shabab,Al-Nassr,0,0,
61,15.01.2001,20:00,Al Ahli SC,Al-Hilal,1,0,
62,18.01.2001,20:00,Sdoos,Al Qadisiya,1,2,
63,19.01.2001,20:00,Al-Shabab,Al Wehda,3,1,
64,19.01.2001,20:00,Al-Hilal,Al Riyadh,1,1,
65,19.01.2001,20:00,Al Ansar,Al-Ittihad FC,1,1,
66,19.01.2001,20:00,Al Ahli SC,Al Najma,2,0,
67,24.01.2001,20:00,Sdoos,Al-Ittihad FC,0,2,
68,24.01.2001,20:00,Al Najma,Al Ansar,0,0,
69,24.01.2001,20:00,Al Ahli SC,Al-Ettifaq,2,1,
70,25.01.2001,20:00,Al-Shabab,Al Riyadh,0,0,
71,25.01.2001,20:00,Al-Hilal,Al-Nassr,2,2,
72,25.01.2001,20:00,Al Wehda,Al Qadisiya,2,2,
73,29.01.2001,20:00,Al-Ittihad FC,Al Qadisiya,0,0,
74,29.01.2001,20:00,Al Najma,Al-Hilal,1,0,
75,31.01.2001,20:00,Sdoos,Al Wehda,0,1,
76,31.01.2001,20:00,Al-Nassr,Al-Shabab,2,0,
77,31.01.2001,20:00,Al-Ettifaq,Al Ansar,3,0,
78,02.02.2001,20:00,Al-Ittihad FC,Al Najma,0,1,
79,02.02.2001,20:00,Al-Hilal,Al Ahli SC,1,3,
80,02.02.2001,20:00,Al Qadisiya,Al Riyadh,1,1,
81,03.02.2001,20:00,Sdoos,Al-Shabab,0,2,
82,04.02.2001,20:00,Al-Nassr,Al-Ettifaq,0,0,
83,04.02.2001,20:00,Al-Ittihad FC,Al Wehda,4,0,
84,06.02.2001,20:00,Sdoos,Al Riyadh,0,3,
85,06.02.2001,20:00,Al-Ettifaq,Al-Nassr,0,2,
86,06.02.2001,20:00,Al Ansar,Al-Hilal,0,2,
87,07.02.2001,20:00,Al-Nassr,Al Qadisiya,3,0,
88,07.02.2001,20:00,Al Najma,Al-Ettifaq,0,0,
89,07.02.2001,20:00,Al Ahli SC,Al-Shabab,3,2,
90,11.02.2001,20:00,Al-Shabab,Al-Ettifaq,1,1,
91,11.02.2001,20:00,Al-Hilal,Al-Ittihad FC,1,0,
92,12.02.2001,20:00,Al-Nassr,Al Ansar,2,1,
93,14.02.2001,20:00,Al-Ittihad FC,Al-Ettifaq,2,1,
94,14.02.2001,20:00,Al Riyadh,Al Wehda,3,0,
95,14.02.2001,20:00,Al Qadisiya,Al Ahli SC,0,1,
96,15.02.2001,20:00,Sdoos,Al-Nassr,1,3,
97,16.02.2001,20:00,Al-Hilal,Al Najma,3,0,
98,16.02.2001,20:00,Al Ansar,Al-Shabab,3,2,
99,18.02.2001,20:00,Al Riyadh,Al-Ittihad FC,0,2,
100,18.02.2001,20:00,Al Ahli SC,Sdoos,6,0,
101,19.02.2001,20:00,Al-Hilal,Al Wehda,4,0,
102,22.02.2001,20:00,Al-Ettifaq,Al-Hilal,0,1,
103,22.02.2001,20:00,Al Wehda,Al-Nassr,1,2,
104,22.02.2001,20:00,Al Najma,Al-Shabab,1,2,
105,22.02.2001,20:00,Al Ahli SC,Al-Ittihad FC,1,1,
106,23.02.2001,20:00,Al Qadisiya,Al Ansar,1,1,
107,26.02.2001,20:00,Al-Ittihad FC,Al-Hilal,1,2,
108,26.02.2001,20:00,Al Wehda,Al Ahli SC,1,5,
109,26.02.2001,20:00,Al Riyadh,Al-Nassr,0,1,
110,27.02.2001,20:00,Al Najma,Al Qadisiya,0,1,
111,27.02.2001,20:00,Al Ansar,Sdoos,1,2,
112,02.03.2001,20:00,Al Riyadh,Al-Hilal,1,6,
113,02.03.2001,20:00,Al Qadisiya,Al-Ittihad FC,2,3,
114,19.03.2001,20:00,Al-Hilal,Sdoos,1,0,
115,21.03.2001,20:00,Al-Nassr,Al-Ittihad FC,2,1,
116,21.03.2001,20:00,Al Ansar,Al Wehda,1,1,
117,21.03.2001,20:00,Al Ahli SC,Al Riyadh,5,1,
118,22.03.2001,20:00,Al-Shabab,Al-Hilal,1,2,
119,22.03.2001,20:00,Al Qadisiya,Al-Ettifaq,2,2,
120,22.03.2001,20:00,Al Najma,Sdoos,1,0,
121,25.03.2001,19:00,Al Riyadh,Al Ansar,3,0,
122,25.03.2001,19:00,Al Ahli SC,Al-Nassr,4,2,
123,26.03.2001,19:00,Sdoos,Al-Ettifaq,3,2,
124,26.03.2001,19:00,Al-Ittihad FC,Al-Shabab,0,0,
125,26.03.2001,19:00,Al-Hilal,Al Qadisiya,2,2,
126,26.03.2001,19:00,Al Wehda,Al Najma,1,2,
127,04.04.2001,19:00,Al-Shabab,Al Qadisiya,3,1,
128,04.04.2001,19:00,Al-Ettifaq,Al Wehda,3,2,
129,04.04.2001,19:00,Al Najma,Al Riyadh,2,1,
130,05.04.2001,19:00,Al-Ittihad FC,Al Ahli SC,1,3,
131,10.04.2001,19:00,Sdoos,Al-Hilal,1,2,
132,10.04.2001,19:00,Al Ansar,Al-Nassr,3,2,
133,18.04.2001,18:30,Al Ahli SC,Al-Ittihad FC,0,0,Semi-finals
134,19.04.2001,18:30,Al-Hilal,Al-Nassr,0,1,Semi-finals
135,25.04.2001,18:30,Al-Ittihad FC,Al Ahli SC,4,2,Semi-finals
136,26.04.2001,18:30,Al-Nassr,Al-Hilal,0,0,Semi-finals
137,09.05.2001,18:30,Al-Ittihad FC,Al-Nassr,1,0,Final
